Resource Name,Project Name,Task Name,HOMEGROUP,Resource Security Group,PRIMARY_BL,DEPT_COUNTRY,DEMAND_TYPE,="Oct 25",="Nov 25",="Dec 25",="Jan 26",="Feb 26",="Mar 26",="Apr 26",="May 26",="Jun 26",="Jul 26",="Aug 26",="Sep 26",="Oct 26",="Nov 26",="Dec 26",="Jan 27",="Feb 27",="Mar 27",="Apr 27",="May 27",="Jun 27",="Jul 27",="Aug 27",="Sep 27",="Oct 27",="Nov 27",="Dec 27",="Jan 28",="Feb 28",="Mar 28",="Apr 28",="May 28",="Jun 28",="Jul 28",="Aug 28",="Sep 28",="Oct 28",="Nov 28",="Dec 28",="Jan 29",="Feb 29",="Mar 29",="Apr 29",="May 29",="Jun 29",="Jul 29",="Aug 29",="Sep 29",
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,19184 - CBN_MC_Evros_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,1.75,1.25,1.25,1.75,1.25,1.25,0.75,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,19184 - CBN_MC_Evros_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,1.75,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,19184 - CBN_MC_Evros_HW,Generic,CNE-PE and Arch,CNE,MC,US,Staffed,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,20129 - CBN_MC_Ganges_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,20129 - CBN_MC_Ganges_HW,Generic,CNE-PE and Arch,CNE,MC,US,Staffed,1.00,1.00,1.00,0.40,0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,21590 - CBN_MC_Orne_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,2.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,21590 - CBN_MC_Orne_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,1.50,1.25,1.25,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,21590 - CBN_MC_Orne_HW,Generic,CNE-PE and Arch,CNE,MC,US,Staffed,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,
CNE-PE and Arch Technology_11977_India-BDC_Connectivity Shared_Staffed,21149 - CBN_WIN_Marina_HW,Generic,CNE-PE and Arch,CNE,WIN,India,Staffed,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,23136 - CBN_CCW_Cologne_HW,Generic,CNE-HWS,CNE,CCW,Taiwan,Staffed,9.00,7.00,5.00,2.50,1.50,2.50,1.50,1.50,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
